question,answer_llm,answer_orig,document
How do I load a `.env` file from Python so my script can pick up the OpenAI key automatically?,"Use `python-dotenv` to load the `.env` file, then read the key from `os.getenv()`:

```bash
pip install python-dotenv
```

```python
import os
from dotenv import load_dotenv

load_dotenv()

openai_api_key = os.getenv(""OPENAI_API_KEY"")
```

Make sure your `.env` contains:

```bash
OPENAI_API_KEY=sk-...
```

and that `.env` is added to `.gitignore`:

```gitignore
.env
```

","Use [`dirdotenv`](https://github.com/alexeygrigorev/dirdotenv). It is like `direnv`, but works with both `.env` and `.envrc`, and is more portable across shells and operating systems.

```bash
uv tool install dirdotenv

# add this line to your ~/.bashrc or ~/.zshrc:
eval ""$(dirdotenv hook bash)""   # or zsh

# inside your project:
echo 'OPENAI_API_KEY=sk-...' > .env
echo '.env' >> .gitignore
```

After that, the key is loaded automatically when you `cd` into the project directory.

Important: always add `.env` and `.envrc` to `.gitignore` so keys never land on GitHub.

`direnv` is also fine if you already use it. In that case, create `.envrc`, add your exports there, and run `direnv allow`.

For GitHub Codespaces, use the built-in [Codespaces secrets](https://docs.github.com/en/codespaces/managing-your-codespaces/managing-your-account-specific-secrets-for-github-codespaces) instead of files in the repo.

For Python scripts, the equivalent is `python-dotenv`:

```python
from dotenv import load_dotenv
load_dotenv()  # loads .env from project root
```",8b2f5e9d04
What's the best way to decide field weights in minsearch or a similar search engine?,"The best way is to **evaluate different field weights against a ground-truth dataset**.

A practical approach:

1. Create a small set of representative questions.
2. Mark which documents should be retrieved for each question.
3. Try different field weight settings.
4. Compare retrieval metrics like **hit rate, precision@k, recall@k, or MRR**.

For small projects, you can also tune weights by trial and error, but **evaluation is the more reliable method**.","The systematic approach is to evaluate different weight settings against a ground-truth dataset.

For example:

1. Create a small set of representative questions.
2. Mark which documents should be retrieved for each question.
3. Try different field weights.
4. Compare retrieval metrics such as hit rate, precision@k, recall@k, or MRR.

You can tune weights by trial and error for small projects, but evaluation is the more reliable approach. The course covers this topic more directly in the evaluation module.",87d4ea4e08
"Should I just tweak field weights by hand, or is there a proper way to test them?","You can tweak field weights by hand for a small project, but the proper way is to **test them against a ground-truth dataset**.

A systematic approach is:

1. Create a small set of representative questions.
2. Mark which documents should be retrieved for each question.
3. Try different field weights.
4. Compare retrieval metrics like **hit rate, precision@k, recall@k, or MRR**.

So: **trial and error is okay for quick experiments, but evaluation is the more reliable method**.","The systematic approach is to evaluate different weight settings against a ground-truth dataset.

For example:

1. Create a small set of representative questions.
2. Mark which documents should be retrieved for each question.
3. Try different field weights.
4. Compare retrieval metrics such as hit rate, precision@k, recall@k, or MRR.

You can tune weights by trial and error for small projects, but evaluation is the more reliable approach. The course covers this topic more directly in the evaluation module.",87d4ea4e08
How do I know which weight settings are actually better for retrieval?,"The systematic way is to evaluate different weight settings against a ground-truth dataset.

A practical approach:

1. Create a small set of representative questions.
2. Mark which documents should be retrieved for each question.
3. Try different field weights.
4. Compare retrieval metrics like:
   - hit rate
   - precision@k
   - recall@k
   - MRR

You can also do trial and error for small projects, but evaluation is the more reliable method.","The systematic approach is to evaluate different weight settings against a ground-truth dataset.

For example:

1. Create a small set of representative questions.
2. Mark which documents should be retrieved for each question.
3. Try different field weights.
4. Compare retrieval metrics such as hit rate, precision@k, recall@k, or MRR.

You can tune weights by trial and error for small projects, but evaluation is the more reliable approach. The course covers this topic more directly in the evaluation module.",87d4ea4e08
What kind of small test set do I need if I want to compare different search weights?,"Create a small set of representative questions, then mark which documents should be retrieved for each question. This gives you a ground-truth test set you can use to compare different search weights.","The systematic approach is to evaluate different weight settings against a ground-truth dataset.

For example:

1. Create a small set of representative questions.
2. Mark which documents should be retrieved for each question.
3. Try different field weights.
4. Compare retrieval metrics such as hit rate, precision@k, recall@k, or MRR.

You can tune weights by trial and error for small projects, but evaluation is the more reliable approach. The course covers this topic more directly in the evaluation module.",87d4ea4e08
Which retrieval metrics should I look at when choosing field weights?,"You should look at retrieval metrics such as:

- **Hit rate**
- **Precision@k**
- **Recall@k**
- **MRR**

The recommended approach is to test different field weights against a ground-truth dataset and compare these metrics.","The systematic approach is to evaluate different weight settings against a ground-truth dataset.

For example:

1. Create a small set of representative questions.
2. Mark which documents should be retrieved for each question.
3. Try different field weights.
4. Compare retrieval metrics such as hit rate, precision@k, recall@k, or MRR.

You can tune weights by trial and error for small projects, but evaluation is the more reliable approach. The course covers this topic more directly in the evaluation module.",87d4ea4e08
What should I do to clean up documents before using them for RAG so retrieval works better?,"Clean the documents so they are **clean, structured, and easy to chunk and retrieve**.

Common things to do:
- Remove noise like broken HTML, duplicate text, boilerplate, OCR errors, repeated headers, and repeated footers.
- Preserve useful context such as titles, section names, dates, page numbers, speaker names, and Q&A structure.
- Store the cleaned data in a structured format that’s easy to process, such as JSON.
- Chunk the documents so related context stays together.
- Keep metadata for later filtering or ranking.

The goal is not just to shorten the text, but to make retrieval more accurate.","Prepare the data so it is clean, structured, and easy to chunk and retrieve.

Common steps:

- Remove obvious noise such as broken HTML, duplicate text, boilerplate, OCR errors, repeated headers, and repeated footers.
- Preserve useful context such as titles, section names, dates, page numbers, speaker names, and Q&A structure.
- Store the result in a structured format that is easy to process. JSON is often convenient, but it is not mandatory.
- Chunk the documents in a way that keeps related context together.
- Keep metadata that may help filtering or ranking later.

The exact format depends on the source data. The goal is not just to make the text shorter, but to make retrieval more accurate.",649c280e6d
"When preparing data for a RAG system, which kinds of junk or noise should I remove from the text?","Remove obvious noise such as:

- broken HTML
- duplicate text
- boilerplate
- OCR errors
- repeated headers
- repeated footers

Also, keep useful context like titles, section names, dates, page numbers, speaker names, and Q&A structure.","Prepare the data so it is clean, structured, and easy to chunk and retrieve.

Common steps:

- Remove obvious noise such as broken HTML, duplicate text, boilerplate, OCR errors, repeated headers, and repeated footers.
- Preserve useful context such as titles, section names, dates, page numbers, speaker names, and Q&A structure.
- Store the result in a structured format that is easy to process. JSON is often convenient, but it is not mandatory.
- Chunk the documents in a way that keeps related context together.
- Keep metadata that may help filtering or ranking later.

The exact format depends on the source data. The goal is not just to make the text shorter, but to make retrieval more accurate.",649c280e6d
"Do I need to keep things like titles, section headings, page numbers, and speaker names when chunking docs for RAG?","Yes — you should generally **preserve useful context** like:

- titles
- section headings
- page numbers
- speaker names
- Q&A structure

The course says to **remove obvious noise** like repeated headers/footers, OCR errors, and duplicate text, but **keep metadata and structural cues** because they help retrieval and chunking.

So for RAG, don’t strip those out unless they’re clearly boilerplate.","Prepare the data so it is clean, structured, and easy to chunk and retrieve.

Common steps:

- Remove obvious noise such as broken HTML, duplicate text, boilerplate, OCR errors, repeated headers, and repeated footers.
- Preserve useful context such as titles, section names, dates, page numbers, speaker names, and Q&A structure.
- Store the result in a structured format that is easy to process. JSON is often convenient, but it is not mandatory.
- Chunk the documents in a way that keeps related context together.
- Keep metadata that may help filtering or ranking later.

The exact format depends on the source data. The goal is not just to make the text shorter, but to make retrieval more accurate.",649c280e6d
"Is JSON required for storing documents before retrieval, or can I use some other format too?","No. JSON is often convenient, but it is not mandatory. You can use other structured formats too, as long as the data is clean, structured, and easy to chunk and retrieve.","Prepare the data so it is clean, structured, and easy to chunk and retrieve.

Common steps:

- Remove obvious noise such as broken HTML, duplicate text, boilerplate, OCR errors, repeated headers, and repeated footers.
- Preserve useful context such as titles, section names, dates, page numbers, speaker names, and Q&A structure.
- Store the result in a structured format that is easy to process. JSON is often convenient, but it is not mandatory.
- Chunk the documents in a way that keeps related context together.
- Keep metadata that may help filtering or ranking later.

The exact format depends on the source data. The goal is not just to make the text shorter, but to make retrieval more accurate.",649c280e6d
"What’s the best way to split documents into chunks for RAG, and should I also keep metadata for later filtering?","Chunk documents so that **related context stays together**. The course doesn’t prescribe one exact chunk size or method, but the key idea is to split in a way that improves retrieval accuracy, not just to make the text shorter.

And **yes, keep metadata** that may help later filtering or ranking. The context explicitly recommends preserving things like:

- titles
- section names
- dates
- page numbers
- speaker names
- Q&A structure

So a good approach is:

1. clean the documents,
2. preserve useful structure,
3. chunk them with related context together,
4. keep metadata alongside each chunk for later use.

If you want, I can also suggest a practical chunking strategy for PDFs or Markdown.","Prepare the data so it is clean, structured, and easy to chunk and retrieve.

Common steps:

- Remove obvious noise such as broken HTML, duplicate text, boilerplate, OCR errors, repeated headers, and repeated footers.
- Preserve useful context such as titles, section names, dates, page numbers, speaker names, and Q&A structure.
- Store the result in a structured format that is easy to process. JSON is often convenient, but it is not mandatory.
- Chunk the documents in a way that keeps related context together.
- Keep metadata that may help filtering or ranking later.

The exact format depends on the source data. The goal is not just to make the text shorter, but to make retrieval more accurate.",649c280e6d
"In GitHub Codespaces, I keep seeing ""Failed to hardlink files"" from uv — does that mean the install broke, or is it safe to ignore?","No — it’s safe to ignore. In GitHub Codespaces, `uv` may be unable to hardlink files between its cache and the target environment, so it falls back to copying them. The package still installs successfully.

If you want to suppress the warning in the current shell:

```bash
export UV_LINK_MODE=copy
```

To make it persistent:

```bash
echo 'export UV_LINK_MODE=copy' >> ~/.bashrc
source ~/.bashrc
```","No. This warning can happen in GitHub Codespaces when `uv` cannot hardlink files between the cache and the target environment.

The package still installs. `uv` falls back to copying files.

To suppress the warning for the current shell:

```bash
export UV_LINK_MODE=copy
```

To make it persistent:

```bash
echo 'export UV_LINK_MODE=copy' >> ~/.bashrc
source ~/.bashrc
```

See the `uv` documentation for more details: [https://docs.astral.sh/uv/](https://docs.astral.sh/uv/).",acf8fa5356
"Why does uv complain about hardlinking in Codespaces, and what actually happens when it can’t use hardlinks?","`uv` complains because in GitHub Codespaces it sometimes cannot create a hardlink between its cache and the target environment.

That’s not an actual installation failure. When hardlinking isn’t possible, `uv` falls back to copying the files, and the package still installs normally.

If you want to suppress the warning, set:

```bash
export UV_LINK_MODE=copy
```

","No. This warning can happen in GitHub Codespaces when `uv` cannot hardlink files between the cache and the target environment.

The package still installs. `uv` falls back to copying files.

To suppress the warning for the current shell:

```bash
export UV_LINK_MODE=copy
```

To make it persistent:

```bash
echo 'export UV_LINK_MODE=copy' >> ~/.bashrc
source ~/.bashrc
```

See the `uv` documentation for more details: [https://docs.astral.sh/uv/](https://docs.astral.sh/uv/).",acf8fa5356
How can I stop the uv hardlink warning just for my current terminal session in Codespaces?,"Set it for the current shell only:

```bash
export UV_LINK_MODE=copy
```

This suppresses the hardlink warning just for your current terminal session in Codespaces.","No. This warning can happen in GitHub Codespaces when `uv` cannot hardlink files between the cache and the target environment.

The package still installs. `uv` falls back to copying files.

To suppress the warning for the current shell:

```bash
export UV_LINK_MODE=copy
```

To make it persistent:

```bash
echo 'export UV_LINK_MODE=copy' >> ~/.bashrc
source ~/.bashrc
```

See the `uv` documentation for more details: [https://docs.astral.sh/uv/](https://docs.astral.sh/uv/).",acf8fa5356
What’s the easiest way to make uv always use copy mode instead of showing the hardlink warning every time I open a shell?,"Set the `UV_LINK_MODE` environment variable to `copy` in your shell startup file:

```bash
echo 'export UV_LINK_MODE=copy' >> ~/.bashrc
source ~/.bashrc
```

That makes `uv` always use copy mode and stops the hardlink warning every time you open a shell.","No. This warning can happen in GitHub Codespaces when `uv` cannot hardlink files between the cache and the target environment.

The package still installs. `uv` falls back to copying files.

To suppress the warning for the current shell:

```bash
export UV_LINK_MODE=copy
```

To make it persistent:

```bash
echo 'export UV_LINK_MODE=copy' >> ~/.bashrc
source ~/.bashrc
```

See the `uv` documentation for more details: [https://docs.astral.sh/uv/](https://docs.astral.sh/uv/).",acf8fa5356
"If uv falls back to copying files after the hardlink warning, is there any impact on the package installation I should worry about?","No — if `uv` falls back to copying files, the package still installs correctly. It’s not an error, just a warning about hardlinking not being possible in that environment.","No. This warning can happen in GitHub Codespaces when `uv` cannot hardlink files between the cache and the target environment.

The package still installs. `uv` falls back to copying files.

To suppress the warning for the current shell:

```bash
export UV_LINK_MODE=copy
```

To make it persistent:

```bash
echo 'export UV_LINK_MODE=copy' >> ~/.bashrc
source ~/.bashrc
```

See the `uv` documentation for more details: [https://docs.astral.sh/uv/](https://docs.astral.sh/uv/).",acf8fa5356
What package do I need to install if `dotenv` isn’t recognized in Python?,"You need to install **`python-dotenv`**:

```bash
pip install python-dotenv
```

Or, if you’re using `uv`:

```bash
uv add python-dotenv
```

Then you can use:

```python
from dotenv import load_dotenv
load_dotenv()
```","Install `python-dotenv`:

```bash
uv add python-dotenv
```

Then import and use it in Python:

```python
from dotenv import load_dotenv

load_dotenv()
```

The package is documented here: [python-dotenv](https://pypi.org/project/python-dotenv/).",0bed1f48da
How do I fix the error when `dotenv` is not recognized?,"Install `python-dotenv`:

```bash
uv add python-dotenv
```

Then use it like this:

```python
from dotenv import load_dotenv

load_dotenv()
```

If you're in Jupyter, make sure you load the `.env` file before creating the OpenAI client.","Install `python-dotenv`:

```bash
uv add python-dotenv
```

Then import and use it in Python:

```python
from dotenv import load_dotenv

load_dotenv()
```

The package is documented here: [python-dotenv](https://pypi.org/project/python-dotenv/).",0bed1f48da
Which command should I run to add `python-dotenv` to my project?,"Run:

```bash
uv add python-dotenv
```","Install `python-dotenv`:

```bash
uv add python-dotenv
```

Then import and use it in Python:

```python
from dotenv import load_dotenv

load_dotenv()
```

The package is documented here: [python-dotenv](https://pypi.org/project/python-dotenv/).",0bed1f48da
"After installing `python-dotenv`, how do I load my `.env` file in Python?","Load it with `python-dotenv` like this:

```python
from dotenv import load_dotenv

load_dotenv()
```

If you want to read the values after that:

```python
import os

openai_api_key = os.getenv(""OPENAI_API_KEY"")
```

","Install `python-dotenv`:

```bash
uv add python-dotenv
```

Then import and use it in Python:

```python
from dotenv import load_dotenv

load_dotenv()
```

The package is documented here: [python-dotenv](https://pypi.org/project/python-dotenv/).",0bed1f48da
"Is `dotenv` part of Python, or do I need a separate library for it?","`dotenv` is **not** part of Python’s standard library. You need to install a separate package, usually **`python-dotenv`**:

```bash
pip install python-dotenv
```

Then use it like this:

```python
from dotenv import load_dotenv

load_dotenv()
```","Install `python-dotenv`:

```bash
uv add python-dotenv
```

Then import and use it in Python:

```python
from dotenv import load_dotenv

load_dotenv()
```

The package is documented here: [python-dotenv](https://pypi.org/project/python-dotenv/).",0bed1f48da
Can I do the RAG module on my own machine instead of using Codespaces?,"Yes. Codespaces is just the easiest way to get started. You can run the RAG module locally on your own machine if you’re comfortable setting up Python, `uv`, Jupyter, Docker, and any other tools the module needs.

If you do run it locally, make sure to document your setup and keep it reproducible.","Yes. Codespaces is just the easiest way for everyone to start with the same environment.

You can run the course locally if you are comfortable setting up Python, `uv`, Jupyter, Docker, and any other tools needed for the module.

If you run locally, make sure you document your setup and keep your environment reproducible.",aa310de435
"Is Codespaces required for this course, or can I use a local setup?","No. Codespaces is **not required**. You can use a **local setup** instead if you’re comfortable installing and configuring the needed tools like Python, `uv`, Jupyter, Docker, and anything else required for the module.

Codespaces is mainly the **easiest way to start with the same environment** as everyone else. If you run locally, just make sure your setup is documented and reproducible.","Yes. Codespaces is just the easiest way for everyone to start with the same environment.

You can run the course locally if you are comfortable setting up Python, `uv`, Jupyter, Docker, and any other tools needed for the module.

If you run locally, make sure you document your setup and keep your environment reproducible.",aa310de435
What do I need installed if I want to follow the module locally?,"If you want to follow the module locally, you need to have set up:

- Python
- `uv`
- Jupyter
- Docker
- any other tools needed for the module

You should also document your setup so it stays reproducible.","Yes. Codespaces is just the easiest way for everyone to start with the same environment.

You can run the course locally if you are comfortable setting up Python, `uv`, Jupyter, Docker, and any other tools needed for the module.

If you run locally, make sure you document your setup and keep your environment reproducible.",aa310de435
"If I skip Codespaces and work on my laptop, is that okay for the course?","Yes — if Codespaces is flaky for you, you can run the course locally instead. Codespaces is just the easiest way to give everyone the same environment. If you work on your laptop, make sure you’re comfortable setting up Python, `uv`, Jupyter, Docker, and any other needed tools, and keep your setup documented and reproducible.","Yes. Codespaces is just the easiest way for everyone to start with the same environment.

You can run the course locally if you are comfortable setting up Python, `uv`, Jupyter, Docker, and any other tools needed for the module.

If you run locally, make sure you document your setup and keep your environment reproducible.",aa310de435
"Do I have to use the shared environment, or can I set up Python and Docker myself?","You can run it locally instead of using the shared environment. The course says Codespaces is just the easiest way to ensure everyone starts with the same setup.

If you run locally, you can set up Python and Docker yourself, as long as you're comfortable installing the needed tools and keep the environment reproducible.","Yes. Codespaces is just the easiest way for everyone to start with the same environment.

You can run the course locally if you are comfortable setting up Python, `uv`, Jupyter, Docker, and any other tools needed for the module.

If you run locally, make sure you document your setup and keep your environment reproducible.",aa310de435
"If I keep coding in GitHub Codespaces but never commit, where does my code actually live?","Your code lives inside the Codespaces Linux VM.

If you don’t commit it, it can survive a stop/start, but it’s not safely stored in your GitHub repo. If the codespace is deleted or recreated, uncommitted work can be lost.","The code is saved inside the Codespaces Linux VM.

However, you should still commit your work regularly. Codespaces can stop, disconnect, or be deleted later, and committing makes sure your work is stored in your GitHub repository.",610ccb23c0
Does uncommitted work in Codespaces stay safe if the Codespace gets stopped or deleted later?,"Uncommitted work will usually survive a stop/start of the Codespace, but it is **not safe if the Codespace is deleted or recreated later**. The code is saved in the Codespaces Linux VM, so you should **commit and push regularly** to keep your work محفوظ in your GitHub repository.","The code is saved inside the Codespaces Linux VM.

However, you should still commit your work regularly. Codespaces can stop, disconnect, or be deleted later, and committing makes sure your work is stored in your GitHub repository.",610ccb23c0
"Is my code automatically stored in my GitHub repo, or do I need to commit it myself in Codespaces?","No — code saved in Codespaces is not automatically stored in your GitHub repo. It’s saved in the Codespace’s Linux VM.

You should still commit and push your work regularly so it’s stored in your GitHub repository.","The code is saved inside the Codespaces Linux VM.

However, you should still commit your work regularly. Codespaces can stop, disconnect, or be deleted later, and committing makes sure your work is stored in your GitHub repository.",610ccb23c0
What should I do in Codespaces so I don’t lose my changes if the session disconnects?,"Commit and push your work regularly to GitHub. That way, if the Codespaces session disconnects or the codespace gets deleted/recreated, your changes are محفوظ in your repository.","The code is saved inside the Codespaces Linux VM.

However, you should still commit your work regularly. Codespaces can stop, disconnect, or be deleted later, and committing makes sure your work is stored in your GitHub repository.",610ccb23c0
"If I forget to commit in Codespaces, will my work still be saved anywhere on the Linux VM?","Yes — if you don’t commit, your code is still saved inside the Codespaces Linux VM.

But be careful: uncommitted changes only survive as long as that codespace exists. If the codespace is stopped, deleted, recreated, or rebuilt, you can lose them. So it’s best to commit and push regularly.","The code is saved inside the Codespaces Linux VM.

However, you should still commit your work regularly. Codespaces can stop, disconnect, or be deleted later, and committing makes sure your work is stored in your GitHub repository.",610ccb23c0
Why does WSL2 say my model needs more memory than available when my PC has enough RAM?,"Your WSL2 only has access to the amount of RAM allocated to WSL, not all the RAM in your PC. So even if your computer has enough memory overall, WSL2 may be limited to a smaller amount like `Y.Y GiB`, which causes the model memory error.

To fix it, increase WSL2’s memory limit by creating a `.wslconfig` file in:

`C:\Users\YourUsername\.wslconfig`

with something like:

```ini
[wsl2]
memory=8GB
```

Then restart WSL:

```bash
wsl --shutdown
```

After that, check the available memory in WSL with `free`.

","Your WSL2 is set to use Y.Y GiB, not all your computer memory. To allocate more RAM, follow these steps:

1. Create a `.wslconfig` file under your Windows user profile directory: `C:\Users\YourUsername\.wslconfig`.

2. Include the desired RAM allocation in the file:

   ```ini
   [wsl2]
   memory=8GB
   ```

3. Restart WSL using the command:

   ```bash
   wsl --shutdown
   ```

4. Run the `free` command in WSL to verify the changes.

For more details, read [this article](https://www.aleksandrhovhannisyan.com/blog/limiting-memory-usage-in-wsl-2/).",f3dd94f323
How can I give WSL2 more RAM so the model stops failing with a memory error?,"Your WSL2 only has access to the RAM allocated to it, not all of your computer’s memory. To give it more RAM:

1. Create a file named `.wslconfig` in your Windows user profile folder:
   `C:\Users\YourUsername\.wslconfig`

2. Put this in the file:
   ```ini
   [wsl2]
   memory=8GB
   ```

3. Restart WSL:
   ```bash
   wsl --shutdown
   ```

4. Check the available memory inside WSL with:
   ```bash
   free
   ```

If you want, I can also help you choose a good RAM value for your machine.","Your WSL2 is set to use Y.Y GiB, not all your computer memory. To allocate more RAM, follow these steps:

1. Create a `.wslconfig` file under your Windows user profile directory: `C:\Users\YourUsername\.wslconfig`.

2. Include the desired RAM allocation in the file:

   ```ini
   [wsl2]
   memory=8GB
   ```

3. Restart WSL using the command:

   ```bash
   wsl --shutdown
   ```

4. Run the `free` command in WSL to verify the changes.

For more details, read [this article](https://www.aleksandrhovhannisyan.com/blog/limiting-memory-usage-in-wsl-2/).",f3dd94f323
"Where do I put the .wslconfig file, and what should I write in it to increase WSL2 memory?","Put the `.wslconfig` file in your Windows user profile directory:

```text
C:\Users\YourUsername\.wslconfig
```

To give WSL2 more memory, add something like this to the file:

```ini
[wsl2]
memory=8GB
```

After that, restart WSL:

```bash
wsl --shutdown
```

Then start WSL again.","Your WSL2 is set to use Y.Y GiB, not all your computer memory. To allocate more RAM, follow these steps:

1. Create a `.wslconfig` file under your Windows user profile directory: `C:\Users\YourUsername\.wslconfig`.

2. Include the desired RAM allocation in the file:

   ```ini
   [wsl2]
   memory=8GB
   ```

3. Restart WSL using the command:

   ```bash
   wsl --shutdown
   ```

4. Run the `free` command in WSL to verify the changes.

For more details, read [this article](https://www.aleksandrhovhannisyan.com/blog/limiting-memory-usage-in-wsl-2/).",f3dd94f323
"After changing WSL2 memory settings, do I need to restart anything for it to take effect?","Yes — after changing WSL2 memory settings, you need to restart WSL for the change to take effect.

Use:

```bash
wsl --shutdown
```

Then start WSL again and you can verify the new memory limit with `free`.","Your WSL2 is set to use Y.Y GiB, not all your computer memory. To allocate more RAM, follow these steps:

1. Create a `.wslconfig` file under your Windows user profile directory: `C:\Users\YourUsername\.wslconfig`.

2. Include the desired RAM allocation in the file:

   ```ini
   [wsl2]
   memory=8GB
   ```

3. Restart WSL using the command:

   ```bash
   wsl --shutdown
   ```

4. Run the `free` command in WSL to verify the changes.

For more details, read [this article](https://www.aleksandrhovhannisyan.com/blog/limiting-memory-usage-in-wsl-2/).",f3dd94f323
How can I check inside WSL whether the new memory limit was applied?,Run `free` inside WSL to verify the new memory limit was applied.,"Your WSL2 is set to use Y.Y GiB, not all your computer memory. To allocate more RAM, follow these steps:

1. Create a `.wslconfig` file under your Windows user profile directory: `C:\Users\YourUsername\.wslconfig`.

2. Include the desired RAM allocation in the file:

   ```ini
   [wsl2]
   memory=8GB
   ```

3. Restart WSL using the command:

   ```bash
   wsl --shutdown
   ```

4. Run the `free` command in WSL to verify the changes.

For more details, read [this article](https://www.aleksandrhovhannisyan.com/blog/limiting-memory-usage-in-wsl-2/).",f3dd94f323
"My GitHub Codespace is stuck on ""Finishing up"" and never connects — what should I try first?","First, go to [github.com/codespaces](https://github.com/codespaces), **stop the codespace, then start it again**.

If it still gets stuck on “Finishing up,” try opening it in the **browser** instead of desktop VS Code, or use a different browser like **Edge, Chrome, or Brave**. As a last resort, **delete the codespace and create a new one**.","These are usually GitHub Codespaces reliability issues rather than a problem with the course, so there's no single guaranteed fix — but the following workarounds resolve most cases.

**Codespace won't connect / stuck on ""Finishing up"":**

- Go to [github.com/codespaces](https://github.com/codespaces), stop the codespace, and start it again.
- If it still won't connect, open it in the **browser** instead of desktop VS Code, or try a different browser (Edge/Chrome/Brave).
- As a last resort, delete the codespace and create a new one.

**""My setup is all gone"":**

- The repo in `/workspaces` persists across stop/start, but a **rebuild or a brand-new codespace** starts from a clean image, and system/global installs outside your project don't always survive. Reinstalling is quick with `uv` (`uv sync` / `uv add ...`).
- **Commit and push your work often** — uncommitted changes survive a stop/start but are lost if you delete or recreate the codespace.

If Codespaces keeps being flaky for you, consider running the course locally instead — see ""[Can I run the course locally instead of Codespaces?](026_aa310de435_can-i-run-the-course-locally-instead-of-codespaces.md)"".",830f3d2018
"If my Codespace won’t open in VS Code desktop, is there another way to get in?","Yes — if it won’t open in VS Code desktop, try opening the Codespace in the **browser** instead, or try a different browser like **Edge, Chrome, or Brave**. If that still doesn’t work, stop and restart the Codespace from [github.com/codespaces](https://github.com/codespaces).","These are usually GitHub Codespaces reliability issues rather than a problem with the course, so there's no single guaranteed fix — but the following workarounds resolve most cases.

**Codespace won't connect / stuck on ""Finishing up"":**

- Go to [github.com/codespaces](https://github.com/codespaces), stop the codespace, and start it again.
- If it still won't connect, open it in the **browser** instead of desktop VS Code, or try a different browser (Edge/Chrome/Brave).
- As a last resort, delete the codespace and create a new one.

**""My setup is all gone"":**

- The repo in `/workspaces` persists across stop/start, but a **rebuild or a brand-new codespace** starts from a clean image, and system/global installs outside your project don't always survive. Reinstalling is quick with `uv` (`uv sync` / `uv add ...`).
- **Commit and push your work often** — uncommitted changes survive a stop/start but are lost if you delete or recreate the codespace.

If Codespaces keeps being flaky for you, consider running the course locally instead — see ""[Can I run the course locally instead of Codespaces?](026_aa310de435_can-i-run-the-course-locally-instead-of-codespaces.md)"".",830f3d2018
"Why did my setup disappear after a rebuild or new Codespace, and is the repo in /workspaces supposed to stay there?","Your setup disappeared because a **rebuild or a brand-new Codespace starts from a clean image**. The repository in `/workspaces` is supposed to stay there across a normal stop/start, but **system/global installs outside your project may be lost** when you rebuild or create a new Codespace.

So:

- **Repo in `/workspaces`?** Yes, it should persist across stop/start.
- **Why did setup disappear?** Because rebuilds or new Codespaces reset the environment.
- **What to do?** Reinstall dependencies quickly with `uv sync` or `uv add ...`.
- **Also:** commit and push your work often, since uncommitted changes can be lost if you delete or recreate the Codespace.","These are usually GitHub Codespaces reliability issues rather than a problem with the course, so there's no single guaranteed fix — but the following workarounds resolve most cases.

**Codespace won't connect / stuck on ""Finishing up"":**

- Go to [github.com/codespaces](https://github.com/codespaces), stop the codespace, and start it again.
- If it still won't connect, open it in the **browser** instead of desktop VS Code, or try a different browser (Edge/Chrome/Brave).
- As a last resort, delete the codespace and create a new one.

**""My setup is all gone"":**

- The repo in `/workspaces` persists across stop/start, but a **rebuild or a brand-new codespace** starts from a clean image, and system/global installs outside your project don't always survive. Reinstalling is quick with `uv` (`uv sync` / `uv add ...`).
- **Commit and push your work often** — uncommitted changes survive a stop/start but are lost if you delete or recreate the codespace.

If Codespaces keeps being flaky for you, consider running the course locally instead — see ""[Can I run the course locally instead of Codespaces?](026_aa310de435_can-i-run-the-course-locally-instead-of-codespaces.md)"".",830f3d2018
What should I do so I don’t lose my work when a Codespace gets deleted or recreated?,"Commit your work to your GitHub repository regularly. Uncommitted changes may survive a stop/start, but they can be lost if the codespace is deleted or recreated.","These are usually GitHub Codespaces reliability issues rather than a problem with the course, so there's no single guaranteed fix — but the following workarounds resolve most cases.

**Codespace won't connect / stuck on ""Finishing up"":**

- Go to [github.com/codespaces](https://github.com/codespaces), stop the codespace, and start it again.
- If it still won't connect, open it in the **browser** instead of desktop VS Code, or try a different browser (Edge/Chrome/Brave).
- As a last resort, delete the codespace and create a new one.

**""My setup is all gone"":**

- The repo in `/workspaces` persists across stop/start, but a **rebuild or a brand-new codespace** starts from a clean image, and system/global installs outside your project don't always survive. Reinstalling is quick with `uv` (`uv sync` / `uv add ...`).
- **Commit and push your work often** — uncommitted changes survive a stop/start but are lost if you delete or recreate the codespace.

If Codespaces keeps being flaky for you, consider running the course locally instead — see ""[Can I run the course locally instead of Codespaces?](026_aa310de435_can-i-run-the-course-locally-instead-of-codespaces.md)"".",830f3d2018
