question,document
"For simple automations, would Zapier or n8n be a better fit than Kestra?",bfe5502c30
"Why does ChatGPT sometimes invent Kestra YAML fields like bucket or name instead of the real ones, and how do I check what’s actually valid?",93a3e8b98c
I asked an AI to build a Kestra flow for GCS upload and it gave me wrong properties — how can I avoid this kind of mistake?,93a3e8b98c
"For Kestra plugins, is there a safe way to know whether properties like destinationTable or to are the right ones for my version?",93a3e8b98c
"Why would an AI-generated BigQuery LoadFromGcs step use projectId, dataset, and table separately when Kestra wants something else?",93a3e8b98c
What’s the best workflow to make sure AI-generated Kestra YAML matches the plugin docs and doesn’t break at runtime?,93a3e8b98c
Why should I keep an eye on token usage in a Kestra flow with LLM calls?,a4adc70f41
How does tracking tokens help with LLM costs in scheduled or looping workflows?,a4adc70f41
What’s the point of measuring prompt and response token counts in Kestra?,a4adc70f41
How can token monitoring prevent a workflow from running up a surprise bill?,a4adc70f41
Where does Kestra get token usage info from after an AI task runs?,a4adc70f41
"Why am I getting the Docker message that /tmp/... is not shared from the host, and how do I make it work again?",dd8b4c9fda
What should I change in Docker Desktop when Kestra can’t mount a folder under /tmp?,dd8b4c9fda
How do I allow Docker to access /tmp so docker compose up -d stops failing?,dd8b4c9fda
"Is there a setting in Docker Desktop for shared folders, and where do I add /tmp or /tmp/kestra-wd?",dd8b4c9fda
"After a mounts denied error on a temp path, what steps do I need in Docker Desktop before restarting Kestra?",dd8b4c9fda
"Why am I getting a 404 NOT_FOUND from Gemini in the Kestra flow, and what should I change in the YAML?",d51bbe2da0
"If the Gemini model in the course example is unavailable for my account, how do I pick another one and where do I update it?",d51bbe2da0
Do I need to restart Docker Compose after changing the Gemini model name in `docker-compose.yml`?,d51bbe2da0
Where can I check which Gemini model IDs are currently available instead of using the one from the lesson?,d51bbe2da0
"Is a Gemini 404 error in Kestra a sign that the model was removed permanently, or just that I should switch to a different model ID?",d51bbe2da0
"For the Module 3 Kestra homework, what exactly am I supposed to upload to the public repo if I mostly did everything in the Kestra UI?",f29f622684
"Do I need to submit the actual Kestra flow YAML files, or is a README with my answers enough for Homework 3?",f29f622684
"If my flows call helper scripts, should those scripts also go into the GitHub repo for the module 3 submission?",f29f622684
Where should I place the Kestra homework files in the repo before I share the link in the form?,f29f622684
"Should the Q1, Q2, and other homework answers be inside the repo, or do I enter them somewhere else when submitting Module 3?",f29f622684
Why does `json.loads(...)` blow up with `JSONDecodeError: Expecting value` when I generate ground-truth questions with an LLM?,a3c7e1b4f9
How do I make the model return only valid JSON instead of adding extra text or a markdown code block?,a3c7e1b4f9
Can you show the OpenAI call that forces the response to be a JSON object before I parse it?,a3c7e1b4f9
What should I write in the prompt so the model outputs a single JSON object with a `questions` list of 5 strings?,a3c7e1b4f9
"Does this JSON-only trick work with other providers too, like Gemini or Groq?",a3c7e1b4f9
Why does my Jupyter kernel keep crashing when I try to embed the ground-truth set in Module 4?,b8f2d6a30c
What can I do if the notebook runs out of memory while loading the embedding model and evaluating the ground truth?,b8f2d6a30c
"Is there a smaller embedding model I can use instead of the default one, and will that affect my metrics?",b8f2d6a30c
How do I avoid memory issues by moving the embedding step out of the notebook and into a separate script?,b8f2d6a30c
What’s the best way to handle the ground-truth set in batches so I don’t blow up RAM on Codespaces or a small laptop?,b8f2d6a30c
"Why am I still getting rate-limit errors when I added `time.sleep(4)` in my loop, and how do I avoid them?",c1e9f4b820
"If Gemini free tier keeps failing while I build the ground-truth data, what are the best alternatives?",c1e9f4b820
"Is it okay to switch to OpenAI for this task, and which model is cheap enough for generating the whole dataset?",c1e9f4b820
How can I reduce API failures when using threads or a pool for dataset generation?,c1e9f4b820
What’s the safest way to continue after I hit the daily quota so I don’t lose the partial work?,c1e9f4b820
Why does Module 4 jump from lesson 6 to lesson 11?,57c8d3a1e4
"Are there missing lessons in Module 4, or is the numbering split on purpose?",57c8d3a1e4
How should I understand the lesson filenames in Module 4?,57c8d3a1e4
Why does `06-search-tuning.md` come right before `11-evaluation-intro.md`?,57c8d3a1e4
"What’s the reason Module 4 has two separate lesson ranges, like 01-06 and 11-15?",57c8d3a1e4
How can my MRR go up but the Hit Rate still stay exactly the same?,8a5ece0688
"If both metrics end up equal, does that mean my eval code is broken or can that be normal?",8a5ece0688
Why would reranking or changing chunks improve reciprocal rank without changing the hit metric?,8a5ece0688
What should I check in my evaluation loop if MRR and Hit Rate look suspiciously identical?,8a5ece0688
Can you explain why moving a relevant answer from rank 5 to rank 1 changes one score but not the other?,8a5ece0688
How do I fix the WinError 126 fbgemm.dll missing error on Windows when importing torch?,15e931476c
Is the PyTorch fbgemm.dll error on Windows usually solved by installing Visual C++ Redistributable?,15e931476c
"Do I need to install Visual Studio itself for the torch\lib\fbgemm.dll missing module issue, or is VS Code enough?",15e931476c
What should I do if Python says it can’t load fbgemm.dll or one of its dependencies on Windows 10/11?,15e931476c
"Any idea why torch throws OSError: [WinError 126] with fbgemm.dll on Windows, and how to get past it?",15e931476c
"Why am I getting psycopg2 OperationalError saying it can’t translate host name ""postgres"" when I run `python prep.py`?",4b65d5542d
What should I change in my `.env` file if the database host `postgres` is not found?,4b65d5542d
"How do I fix `could not translate host name ""postgres"" to address` in the monitoring module setup?",4b65d5542d
"Is `POSTGRES_HOST=postgres` wrong for running `prep.py` locally, and what should it be instead?",4b65d5542d
What’s the quickest fix for the `No such host is known` error from psycopg2 when connecting to Postgres?,4b65d5542d
How can I make Pandas show the full text in a column instead of cutting it off?,641aedbbf5
Is there a setting in Pandas to stop long strings from being truncated in the output?,641aedbbf5
"In the offline-rag-evaluation notebook, how do I view the entire Explanation text from the judge LLM?",641aedbbf5
What option should I change if Pandas only shows part of a long column value?,641aedbbf5
"Why does Pandas shorten long text to ""..."", and how do I display the whole thing?",641aedbbf5
How can I normalize a vector stored in a Pandas DataFrame column?,5039707c1a
What's a simple way to normalize each value in a Pandas Series if the values are vectors?,5039707c1a
Can I use apply with a lambda to normalize vectors in a DataFrame column?,5039707c1a
How do I create a new column with normalized vectors from an existing one in pandas?,5039707c1a
What is the easiest NumPy-based way to divide each vector by its norm inside a Pandas column?,5039707c1a
How can I get the 75th percentile from a Pandas DataFrame column?,b4c8ac5a0c
What's the Pandas way to compute a quantile for a Series?,b4c8ac5a0c
How do I calculate the 0.75 quantile in pandas?,b4c8ac5a0c
Is there a simple function to find a column percentile in a DataFrame?,b4c8ac5a0c
How do I use Pandas to get the value at q=0.75?,b4c8ac5a0c
"How do I wipe out every Docker container from the terminal, even the running ones?",66ccbb7da0
What command removes all Docker images at once?,66ccbb7da0
How can I delete every Docker volume using the command line?,66ccbb7da0
"Is there a quick way to force-remove all containers, images, and volumes in Docker?",66ccbb7da0
What terminal commands should I run to clean up all Docker resources completely?,66ccbb7da0
Why does my Streamlit session variable get set back to True after I click a feedback button?,2e729f1271
How can I make sure users can only give +1 or -1 once per submitted prompt in Streamlit?,2e729f1271
Why are my Streamlit feedback buttons still enabled even when `submitted` should be false?,2e729f1271
Is there a known fix for `st.session.submitted` getting reassigned after pressing a button?,2e729f1271
Where can I find the solution for Streamlit session attributes being changed unexpectedly?,2e729f1271
How can I make RAGWithMetrics work with Gemini or another provider that uses Chat Completions instead of the Responses API?,01517c80df
Do I need to change LLMCallRecord or RAGBase when switching this monitoring code to an OpenAI-compatible provider?,01517c80df
Which parts of RAGWithMetrics depend on the OpenAI Responses API and need to be rewritten for Chat Completions?,01517c80df
"Where do the answer text and token usage live in a Chat Completions response, and how should I log them?",01517c80df
"Why does the example set cost to 0.0, and how should I handle pricing for a non-OpenAI model?",01517c80df
"Why do I get ""streamlit: executable file not found in $PATH"" only when I start my app with docker-compose?",e8df9f0d12
"My Streamlit app works locally, but Docker Compose crashes with a runc create failed / exec streamlit not found error. What am I missing?",e8df9f0d12
Do I need a Dockerfile and something in docker-compose to make Streamlit run inside the container?,e8df9f0d12
How can I fix the docker-compose error where the container can't start the streamlit command?,e8df9f0d12
"After adding Streamlit to my compose setup, what's the right way to rebuild so the app starts correctly?",e8df9f0d12
Is the capstone project supposed to be individual or can we do it as a group?,0fab61eca2
Can I work with other students on the capstone if each of us submits our own part?,0fab61eca2
"If two people build one shared system, is that allowed for the capstone?",0fab61eca2
Do we need separate repos and separate components for each student in a shared capstone idea?,0fab61eca2
What happens if our project can’t be graded separately for each person?,0fab61eca2
"Do I need to hand in two capstone projects, or is one enough?",d5fc98925d
What exactly are attempt 1 and attempt 2 for the capstone submission?,d5fc98925d
"If my first capstone submission doesn’t pass, can I fix it and send it again later?",d5fc98925d
"Can I submit a second project just for practice, and does it need a different dataset and problem?",d5fc98925d
"If I miss the first submission window, can I still submit in attempt 2 and get the certificate?",d5fc98925d
"Is the competition considered the capstone project, or is it separate?",e892d44e42
"Can we use the math-kaggle-llm-competition as our capstone, or do we still need an individual project?",e892d44e42
"If I join the competition with a team, does that count toward the capstone requirement?",e892d44e42
"Are teams allowed only for the competition, while the capstone itself has to be done alone?",e892d44e42
Do I need to submit an individual capstone even if I already participated in the Kaggle competition with others?,e892d44e42
How will the capstone project be graded in this course?,9a2e2d2008
Who reviews a submitted capstone project during evaluation?,9a2e2d2008
Do I also need to review other students' capstone projects?,9a2e2d2008
What happens if I don't grade the three peer projects I'm assigned?,9a2e2d2008
How is the final score for the capstone project calculated?,9a2e2d2008
"When do we get the projects assigned for review after the deadline, and what format will they be shared in?",eae0fb50aa
How many projects will each participant have to review once the submission deadline is over?,eae0fb50aa
"Will the review assignments be sent out right after the deadline passes, or later?",eae0fb50aa
What kind of file will be used to distribute the project grading assignments to everyone?,eae0fb50aa
"For capstone project grading, are we each assigned three projects to review?",eae0fb50aa
I already sent in my project — why don't I see any projects to review yet?,a8a7fef016
"After submitting my capstone, when do the review assignments actually show up?",a8a7fef016
"Can I pick which projects I want to evaluate, or are they assigned somehow?",a8a7fef016
Why am I unable to review other projects before the deadline ends?,a8a7fef016
Is there any way to start reviewing projects before the assigned list is released?,a8a7fef016
Where can I look for project ideas and datasets for the capstone?,e76a70cde3
Is there a GitHub page with some dataset and idea suggestions for the project?,e76a70cde3
I'm stuck on the project topic — where do I find tips and guidelines to help me choose?,e76a70cde3
Can I get a link to the page that lists possible ideas and datasets for the capstone project?,e76a70cde3
What’s the best place to check for several project ideas plus datasets to use?,e76a70cde3
"Do I actually need Airflow, Mage, or Kestra for the capstone ingestion pipeline, or is a normal Python script enough?",d4f7c08ea1
Can I use just a Python script to ingest and index data and still get full points for the ingestion pipeline part?,d4f7c08ea1
"If I build the capstone ingestion steps in a Jupyter notebook, how many points is that worth compared to a script?",d4f7c08ea1
"Should I add an orchestrator to my project just to satisfy the ingestion pipeline requirement, or only when it really makes sense?",d4f7c08ea1
"When would it be a good idea to use an orchestration tool in the capstone, like for data that needs to be ingested every day?",d4f7c08ea1
How can I check whether my recommender-style RAG is working if I don't have clear ground-truth Q&A pairs?,9b0e2d6a47
"Is there a good way to create fake test queries for a RAG recommender evaluation, and what metrics should I use after that?",9b0e2d6a47
"For ranking-style retrieval tasks, should I use hit rate or something like NDCG, and why?",9b0e2d6a47
"Can I use an LLM to judge end-to-end RAG quality for recommendations, and how would I set that up?",9b0e2d6a47
What's a practical evaluation method for RAG when multiple retrieved items could count as a valid answer?,9b0e2d6a47
What chunking approach should I start with for a really big PDF corpus before trying anything fancy?,6f2a8b3d10
"Should I jump straight to a smart LLM-based splitter, or is it better to begin with simple fixed-size chunks first?",6f2a8b3d10
"How do summaries help when chunking long documents, and should I store them with each chunk?",6f2a8b3d10
"For legal or financial docs, is hybrid search worth using instead of only dense embeddings?",6f2a8b3d10
What tools would you recommend to turn PDFs into cleaner markdown before I chunk them?,6f2a8b3d10
"What does reproducibility mean for the capstone project, and do I need to give reviewers my API keys?",e5d8a2c761
How should I set up my repo so someone can rebuild the search index from scratch without my secrets?,e5d8a2c761
"Should I put my API credentials in the project files, or is there a safer way to handle them?",e5d8a2c761
What do I need to include in the README so a reviewer can run the project on their own machine?,e5d8a2c761
Do I need to lock package versions and mention Python or Docker versions for the project to be reproducible?,e5d8a2c761
"Is it okay if I do the homework or capstone in JavaScript, Go, or another non-Python language?",ea815eb858
Do I have to use Python for every assignment and the final project in this course?,ea815eb858
"If I choose a different stack than Python, what kind of README or setup instructions do I need to provide?",ea815eb858
Will a non-Python project make it harder for the reviewer to run and check my submission?,ea815eb858
What level of install and run instructions should I include if my project is in a language like Go or Rust?,ea815eb858
Where do I look to see past LLM Zoomcamp capstone projects?,930286278d
Is there a place with submissions from earlier LLM Zoomcamp cohorts?,930286278d
Can I browse old LLM Zoomcamp project repos somewhere?,930286278d
Do you have links to the 2024 and 2025 LLM Zoomcamp projects?,930286278d
Where can I check what kind of capstone project quality and scope is expected?,930286278d
"Do I need to reserve my capstone project idea before I start, or can I just begin working on it?",897a350476
Is there any need to announce my LLM Zoomcamp project topic somewhere before submission?,897a350476
"If I already have a project idea, do I have to get approval or claim it first?",897a350476
"Can I pick a topic similar to a previous student project, or does it need to be totally unique?",897a350476
"Where should I go if I want feedback on my capstone idea, and can I check past projects to see what size the project should be?",897a350476
Can I build my capstone as a Telegram or WhatsApp bot instead of a website?,7318a90b14
"Is a web app required for the project, or can I use something like a CLI or Slack app?",7318a90b14
Are there any rules about what kind of interface I have to use for the capstone?,7318a90b14
"Will the course show me how to create the app interface, like a bot or notebook?",7318a90b14
"If I want to use a different user-facing setup for my project, is that allowed as long as it passes the evaluation?",7318a90b14
What’s the best tool to pull text out of PDFs for a RAG project in this course?,d8b28c47a0
"If my PDFs are just scanned images, what can I use to OCR them before RAG?",d8b28c47a0
"Should I use docling, PyMuPDF, or unstructured for document extraction, and how do I choose?",d8b28c47a0
Is there a recommended library for converting PDFs into Markdown or JSON for RAG?,d8b28c47a0
"Do I need to follow one specific document parser in the capstone, or can I pick any OCR/text extraction tool that works?",d8b28c47a0
"Can I reuse the workshop content in my own capstone project, or is it only for the class exercises?",d850a0e7ea
"Since dlt is open source, am I allowed to take ideas or code from this workshop and use them in another project?",d850a0e7ea
"Would it be okay to use this workshop stuff in other Zoomcamp projects, like the MLOps one?",d850a0e7ea
"If I want to build my own project with dlt, can I just use the workshop materials directly?",d850a0e7ea
"Is it fine to share these workshop materials with others, or are they only meant for enrolled students?",d850a0e7ea
How do I create a new dlt project for loading data from cloud storage?,6bceeebf04
What’s the command to start a dlt filesystem to duckdb pipeline?,6bceeebf04
I’m trying to set up dlt for cloud files—what should I run first?,6bceeebf04
How can I initialize a dlt project that reads from a filesystem and loads into DuckDB?,6bceeebf04
Where do I begin if I want to use dlt for cloud data ingestion with DuckDB?,6bceeebf04
"Why do I get `FileNotFoundError: Table notion_pages___homework does not exist` when I run `db.open_table(""notion_pages___homework"")`?",0407213397
"I changed the table name to `notion_pages___homework`, but the pipeline still says the table doesn't exist — what am I missing?",0407213397
"What should I check if `db.open_table(""notion_pages___homework"")` fails even though I renamed the table for the homework?",0407213397
How can I fix the `Table notion_pages___homework does not exist` error in the dlt workshop?,0407213397
"If my homework table isn't opening, is there some leftover `employee_handbook` setting I forgot to replace?",0407213397
Why am I getting FileNotFoundError for notion_pages___homework when I run main()?,e95bfafc0e
How do I fix the error saying the table notion_pages___homework does not exist?,e95bfafc0e
"In the dlt workshop, what table name should I use with db.open_table()?",e95bfafc0e
My code fails because db.create_table says notion_pages___homework is missing. What should I change?,e95bfafc0e
What is the correct line for opening the homework table in the Notion pages example?,e95bfafc0e
How can I see what tables exist in the database?,e394e6f738
Is there a way to list all the tables in the db?,e394e6f738
What method do I use to get the table names?,e394e6f738
How do I check which tables are available?,e394e6f738
Can I print out the database table list somehow?,e394e6f738
Does DLT already support ClickHouse or StarRocks connectors?,cd19f122f3
Can I use DLT to load data into ClickHouse or StarRocks today?,cd19f122f3
Is there a built-in connector in DLT for ClickHouse or StarRocks?,cd19f122f3
"Are ClickHouse and StarRocks supported by DLT right now, or not yet?",cd19f122f3
"If DLT doesn't have ClickHouse or StarRocks connectors, can the community add them?",cd19f122f3
Why do I keep getting a 401 Unauthorized when the notebook calls Notion search API?,0dfba07ace
What should I check if the notebook says it has no secret access to api.notion.com/v1/search?,0dfba07ace
Could this Notion API error be caused by a bad token or expired credentials?,0dfba07ace
How do I fix authorization problems when my notebook cannot access the Notion endpoint?,0dfba07ace
What are the common things to verify when Notion API requests fail with 401 Client Error?,0dfba07ace
"Why does pip keep giving me requests 2.28 when I need 2.32 for lancedb, and how do I install the right one from source?",4b30b918bc
What’s the command to force-install the newer requests release instead of the old one from pip?,4b30b918bc
"I’m hitting a 401 Client Error while setting this up — could it be a bad key or missing access, and what should I check?",4b30b918bc
How can I pin requests to v2.32.3 using a GitHub zip URL in pip?,4b30b918bc
"If my environment only installs requests 2.28, what’s the workaround to get the version lancedb expects?",4b30b918bc
"My Logfire token is from the EU region, but I keep getting 401 Unauthorized — what should I check first?",46efd1088d
"Do I need to set a custom Logfire base URL for EU tokens, or should the SDK pick the region automatically?",46efd1088d
Could an old environment variable be causing Logfire to use the wrong token even though my .env file is correct?,46efd1088d
"What’s the difference between LOGFIRE_TOKEN and LOGFIRE_READ_TOKEN, and which one do I need for configuring Logfire?",46efd1088d
"If my EU Logfire token still fails after updating, what version or fallback setting should I try?",46efd1088d
